ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_2,Pre,3,Trial     9,Arena 1,3:56,27.5,0.328,188.053,20,90,1,188.053,20,90,1,NA,NA,NA,NA
GS_Pred_NM_20,Pre,3,Trial     1,Arena 3,2:30,26.4,0.282,188.569,17,2,1,188.569,17,2,1,NA,NA,NA,NA
GS_Pred_NM_25,Pre,2,Trial     8,Arena 4,4:40,27,0.363,194.697,16,5,1,194.697,16,5,1,NA,NA,NA,NA
GS_Pred_NM_29,Pre,2,Trial    10,Arena 4,5:40,27.1,0.323,195.066,19,39,1,195.066,19,39,1,NA,NA,NA,NA
GS_Pred_NM_6,Pre,1,Trial    1,Arena 1,10:42,26.3,0.323,198.155,21,169,1,198.155,21,169,1,NA,NA,NA,NA
GS_Pred_NM_31,Pre,1,Trial     3,Arena 3,2:20,26.1,0.267,205.327,23,0,1,205.327,23,0,1,NA,NA,NA,NA
GS_Pred_NM_27,Pre,2,Trial     6,Arena 4,3:47,26.8,0.342,205.887,19,356,1,205.887,19,356,1,NA,NA,NA,NA
GS_Pred_NM_13,Pre,3,Trial     6,Arena 2,2:40,27.1,0.206,206.904,21,338,1,206.904,21,338,1,NA,NA,NA,NA
GS_Pred_NM_39,Pre,3,Trial    10,Arena 1,4:40,27.2,0.354,211.485,21,200,1,211.485,21,200,1,NA,NA,NA,NA
GS_Pred_NM_23,Pre,2,Trial     1,Arena 3,12:12,26.1,0.282,219.745,21,360,0,219.745,21,360,0,NA,NA,NA,NA
GS_Pred_NM_16,Pre,2,Trial     5,Arena 4,3:21,26.6,0.414,222.192,18,23,1,222.192,18,23,1,NA,NA,NA,NA
GS_Pred_NM_34,Pre,1,Trial     4,Arena 2,2:55,26.4,0.29,224.493,23,2,1,224.493,23,2,1,NA,NA,NA,NA
GS_Pred_NM_16,Pre,3,Trial     4,Arena 3,3:52,27.2,0.291,225.785,21,63,1,225.785,21,63,1,NA,NA,NA,NA
GS_Pred_NM_4,Pre,3,Trial     1,Arena 4,2:30,26.4,0.375,232.525,31,28,1,232.525,31,28,1,NA,NA,NA,NA
GS_Pred_NM_27,Pre,3,Trial     8,Arena 1,3:30,27.4,0.318,237.728,29,360,0,237.728,29,360,0,NA,NA,NA,NA
GS_Pred_NM_7,Pre,3,Trial     3,Arena 2,3:24,26.8,0.343,250.269,15,47,1,250.269,15,47,1,NA,NA,NA,NA
GS_Pred_NM_21,Pre,1,Trial     6,Arena 2,3:47,26.9,0.306,264.177,28,360,0,264.177,28,360,0,NA,NA,NA,NA
GS_Pred_NM_11,Pre,1,Trial     7,Arena 2,4:15,27.1,0.324,277.315,19,13,1,277.315,19,13,1,NA,NA,NA,NA
GS_Pred_NM_5,Pre,1,Trial     5,Arena 1,3:20,26.8,0.195,279.947,29,360,0,279.947,29,360,0,NA,NA,NA,NA
GS_Pred_NM_3,Pre,1,Trial    11,Arena 1,11:44,25.8,0.255,283.993,20,5,1,283.993,20,5,1,NA,NA,NA,NA
GS_Pred_NM_14,Pre,1,Trial     9,Arena 4,10:42,25.5,0.371,284.224,22,360,0,284.224,22,360,0,NA,NA,NA,NA
GS_Pred_NM_29,Pre,3,Trial     5,Arena 1,4:14,27.2,0.373,288.33,23,145,1,288.33,23,145,1,NA,NA,NA,NA
GS_Pred_NM_7,Pre,1,Trial     2,Arena 3,11:53,26.6,0.347,290.003,23,8,1,290.003,23,8,1,NA,NA,NA,NA
GS_Pred_NM_30,Pre,3,Trial    10,Arena 2,4:40,27.2,0.33,292.279,22,41,1,292.279,22,41,1,NA,NA,NA,NA
GS_Pred_NM_22,Pre,1,Trial     8,Arena 3,4:45,27,0.257,298.932,33,90,1,298.932,33,90,1,NA,NA,NA,NA
