ID,Exp,Rep,Trial_nb,Arena,Time,Temp,Mass,Dist,UZ,Latency,LatBi,DistPre,UZPre,LatencyPre,LatBiPre,DistPost,UZPost,LatencyPost,LatBiPost
GS_Pred_NM_35,Post,4,Trial    10,Arena 1,2:16,26.4,0.269,19.6403,1,360,0,NA,NA,NA,NA,19.6403,1,360,0
GS_Pred_NM_35,Post,5,Trial    12,Arena 1,3:05,26.7,0.269,41.4104,1,360,0,NA,NA,NA,NA,41.4104,1,360,0
GS_Pred_NM_35,Post,6,Trial    22,Arena 1,11:59,25.4,0.274,0,1,360,0,NA,NA,NA,NA,0,1,360,0
GS_Pred_NM_36,Post,4,Trial     2,Arena 4,10:57,25.9,0.324,909.747,24,360,0,NA,NA,NA,NA,909.747,24,360,0
GS_Pred_NM_36,Post,5,Trial    14,Arena 2,3:55,26.6,0.325,801.104,20,360,0,NA,NA,NA,NA,801.104,20,360,0
GS_Pred_NM_36,Post,6,Trial    20,Arena 2,6:12,26,0.328,51.9246,6,4,1,NA,NA,NA,NA,51.9246,6,4,1
GS_Pred_NM_38,Post,4,Trial     9,Arena 1,1:52,26.3,0.392,91.7097,9,360,0,NA,NA,NA,NA,91.7097,9,360,0
GS_Pred_NM_38,Post,5,Trial    19,Arena 3,5:52,25.8,0.378,285.043,20,98,1,NA,NA,NA,NA,285.043,20,98,1
GS_Pred_NM_38,Post,6,Trial    27,Arena 4,3:52,26.3,0.397,218.545,21,360,0,NA,NA,NA,NA,218.545,21,360,0
GS_Pred_NM_39,Post,4,Trial     5,Arena 2,12:11,26.2,0.349,412.839,20,67,1,NA,NA,NA,NA,412.839,20,67,1
GS_Pred_NM_39,Post,5,Trial    17,Arena 1,3:14,25.6,0.344,677.647,22,6,1,NA,NA,NA,NA,677.647,22,6,1
GS_Pred_NM_39,Post,6,Trial    26,Arena 2,3:31,26.4,0.364,328.925,21,1,1,NA,NA,NA,NA,328.925,21,1,1
GS_Pred_NM_4,Post,4,Trial     8,Arena 2,1:27,26.1,0.423,242.223,20,360,0,NA,NA,NA,NA,242.223,20,360,0
GS_Pred_NM_4,Post,5,Trial    15,Arena 4,4:18,26.5,0.413,339.23,20,360,0,NA,NA,NA,NA,339.23,20,360,0
GS_Pred_NM_4,Post,6,Trial    20,Arena 3,6:12,26,0.399,460.926,21,360,0,NA,NA,NA,NA,460.926,21,360,0
GS_Pred_NM_40,Post,4,Trial     1,Arena 3,10:24,25.3,0.357,464.022,28,360,0,NA,NA,NA,NA,464.022,28,360,0
GS_Pred_NM_40,Post,5,Trial    13,Arena 1,3:31,26.8,0.388,361.926,20,360,0,NA,NA,NA,NA,361.926,20,360,0
GS_Pred_NM_40,Post,6,Trial    23,Arena 1,12:21,25.8,0.391,770.173,28,360,0,NA,NA,NA,NA,770.173,28,360,0
GS_Pred_NM_5,Post,4,Trial     6,Arena 3,1:24,26.1,0.319,655.647,20,360,0,NA,NA,NA,NA,655.647,20,360,0
GS_Pred_NM_5,Post,5,Trial    17,Arena 4,3:14,25.6,0.324,855.754,21,360,0,NA,NA,NA,NA,855.754,21,360,0
GS_Pred_NM_5,Post,6,Trial    25,Arena 3,3:11,26.2,0.301,647.916,34,360,0,NA,NA,NA,NA,647.916,34,360,0
GS_Pred_NM_6,Post,4,Trial     2,Arena 2,10:57,25.9,0.37,313.001,26,360,0,NA,NA,NA,NA,313.001,26,360,0
GS_Pred_NM_6,Post,5,Trial    11,Arena 4,2:42,26.6,0.365,73.1251,8,360,0,NA,NA,NA,NA,73.1251,8,360,0
GS_Pred_NM_6,Post,6,Trial    23,Arena 3,12:21,25.8,0.375,250.89,20,360,0,NA,NA,NA,NA,250.89,20,360,0
GS_Pred_NM_7,Post,4,Trial     4,Arena 3,11:46,26.2,0.376,238.631,20,15,1,NA,NA,NA,NA,238.631,20,15,1
GS_Pred_NM_7,Post,5,Trial    13,Arena 3,3:31,26.8,0.383,48.5424,1,16,1,NA,NA,NA,NA,48.5424,1,16,1
GS_Pred_NM_7,Post,6,Trial    22,Arena 2,11:59,25.4,0.348,381.884,19,113,1,NA,NA,NA,NA,381.884,19,113,1
GS_Pred_NM_8,Post,4,Trial     4,Arena 4,11:46,26.2,0.305,614.107,20,360,0,NA,NA,NA,NA,614.107,20,360,0
GS_Pred_NM_8,Post,5,Trial    11,Arena 2,2:42,26.6,0.312,351.879,20,360,0,NA,NA,NA,NA,351.879,20,360,0
GS_Pred_NM_8,Post,6,Trial    23,Arena 2,12:21,25.8,0.315,239.323,20,360,0,NA,NA,NA,NA,239.323,20,360,0
GS_Pred_NM_9,Post,4,Trial     6,Arena 4,1:24,26.1,0.254,768.909,21,360,0,NA,NA,NA,NA,768.909,21,360,0
GS_Pred_NM_9,Post,5,Trial    18,Arena 4,5:30,25.4,0.235,148.366,12,61,1,NA,NA,NA,NA,148.366,12,61,1
GS_Pred_NM_9,Post,6,Trial    28,Arena 3,4:13,26.5,0.245,728.477,25,360,0,NA,NA,NA,NA,728.477,25,360,0
